City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Narsaq,GL,2020-10-15 00:10:08,60.92,-46.05,35.6,80,66,3.36
126,Verkhnevilyuysk,RU,2020-10-15 00:10:08,63.45,120.32,19.17,96,40,6.93
127,San Patricio,US,2020-10-15 00:10:08,28.02,-97.52,84.2,58,40,14.99
128,Hobyo,SO,2020-10-15 00:10:08,5.35,48.53,79.86,77,53,16.2
129,Grindavik,IS,2020-10-15 00:10:08,63.84,-22.43,46.4,87,75,36.91
130,North Bend,US,2020-10-15 00:10:08,43.41,-124.22,69.01,67,1,17.22
131,Misratah,LY,2020-10-15 00:10:08,32.38,15.09,75.49,73,0,19.35
132,Mar Del Plata,AR,2020-10-15 00:06:28,-38.0,-57.56,53.6,54,0,13.87
133,Harper,LR,2020-10-15 00:10:08,4.38,-7.72,76.46,89,48,6.51
134,Ambilobe,MG,2020-10-15 00:10:09,-13.2,49.05,71.15,75,24,2.77
135,Fort Nelson,CA,2020-10-15 00:08:01,58.81,-122.7,28.4,74,75,3.36
136,Faanui,PF,2020-10-15 00:10:09,-16.48,-151.75,79.11,78,8,11.16
137,Arraial Do Cabo,BR,2020-10-15 00:05:30,-22.97,-42.03,72.68,94,28,8.61
138,Buala,SB,2020-10-15 00:10:09,-8.14,159.59,85.64,64,37,3.22
139,Longyearbyen,SJ,2020-10-15 00:06:25,78.22,15.64,28.4,79,75,3.36
140,Labuhan,ID,2020-10-15 00:10:09,-6.88,112.21,82.24,69,17,9.93
141,Banda Aceh,ID,2020-10-15 00:06:54,5.56,95.32,81.45,72,100,8.68
142,Chegdomyn,RU,2020-10-15 00:10:09,51.12,133.02,29.28,82,96,6.91
143,Pointe-Noire,CG,2020-10-15 00:10:10,-4.78,11.86,75.18,82,94,6.62
144,Digby,CA,2020-10-15 00:05:14,44.62,-65.77,53.01,85,49,1.99
145,Buraydah,SA,2020-10-15 00:10:10,26.33,43.98,68.0,34,0,4.7
146,Ponta Do Sol,PT,2020-10-15 00:10:10,32.67,-17.1,71.6,73,75,13.87
147,Codrington,AU,2020-10-15 00:10:10,-38.27,141.97,65.05,77,100,6.4
148,Muros,ES,2020-10-15 00:10:10,42.78,-9.06,48.99,92,2,5.5
149,Norman Wells,CA,2020-10-15 00:05:52,65.28,-126.83,21.2,57,90,13.87
150,Khatanga,RU,2020-10-15 00:10:10,71.97,102.5,20.32,97,100,13.33
151,Ler,SS,2020-10-15 00:10:11,8.3,30.14,72.34,85,7,1.54
152,Sao Joao Da Barra,BR,2020-10-15 00:10:11,-21.64,-41.05,73.98,93,63,5.64
153,Longonjo,AO,2020-10-15 00:10:11,-12.91,15.25,64.54,81,100,0.4
154,Mercedes,AR,2020-10-15 00:10:11,-34.65,-59.43,69.01,50,70,4.0
155,Vestmannaeyjar,IS,2020-10-15 00:10:11,63.44,-20.27,48.11,81,97,30.87
156,Guangyuan,CN,2020-10-15 00:10:11,32.44,105.82,55.99,99,100,14.0
157,Odienne,CI,2020-10-15 00:10:11,9.51,-7.57,74.14,78,12,0.85
158,East London,ZA,2020-10-15 00:10:12,-33.02,27.91,60.3,73,4,13.91
159,Saint-Augustin,CA,2020-10-15 00:10:12,51.23,-58.65,48.56,92,100,18.14
160,Ancud,CL,2020-10-15 00:10:12,-41.87,-73.82,51.8,53,25,4.7
161,Chokurdakh,RU,2020-10-15 00:10:12,70.63,147.92,21.56,98,96,1.79
162,Amalapuram,IN,2020-10-15 00:10:12,16.58,82.02,75.49,95,95,2.33
163,Chateau-Thierry,FR,2020-10-15 00:10:12,49.05,3.4,46.99,89,100,7.0
164,Prince Rupert,CA,2020-10-15 00:10:12,54.32,-130.32,51.8,76,20,3.36
165,Ust-Nera,RU,2020-10-15 00:10:12,64.57,143.2,27.64,90,98,3.49
166,Opuwo,NA,2020-10-15 00:10:12,-18.06,13.84,67.3,38,28,4.12
167,Aden,YE,2020-10-15 00:05:35,12.78,45.04,84.87,60,0,3.89
168,Comodoro Rivadavia,AR,2020-10-15 00:10:13,-45.87,-67.5,51.8,71,13,5.82
169,Roseburg,US,2020-10-15 00:10:13,43.22,-123.34,66.99,45,1,8.05
170,Bukachacha,RU,2020-10-15 00:10:13,52.98,116.92,26.04,85,100,2.39
171,Inuvik,CA,2020-10-15 00:10:13,68.35,-133.72,24.8,62,40,5.82
172,Kaitangata,NZ,2020-10-15 00:10:13,-46.28,169.85,50.0,45,1,10.0
173,Talnakh,RU,2020-10-15 00:10:13,69.49,88.4,24.8,92,75,20.13
174,Cabo San Lucas,MX,2020-10-15 00:10:13,22.89,-109.91,86.0,70,5,6.93
175,Tabora,TZ,2020-10-15 00:10:13,-5.02,32.8,71.67,53,13,10.09
176,Marystown,CA,2020-10-15 00:10:14,47.17,-55.15,55.0,100,73,8.01
177,Pitimbu,BR,2020-10-15 00:10:14,-7.47,-34.81,77.0,83,40,5.82
178,Ingham,US,2020-10-15 00:10:14,42.6,-84.38,59.0,54,1,14.99
179,Belvedere Marittimo,IT,2020-10-15 00:10:14,39.62,15.86,55.99,82,86,11.61
180,Taltal,CL,2020-10-15 00:10:14,-25.4,-70.48,59.95,66,21,5.7
181,Safford,US,2020-10-15 00:10:14,32.83,-109.71,96.8,6,1,24.16
182,Lebyazhye,RU,2020-10-15 00:10:14,55.27,66.49,46.65,55,99,11.79
183,Provideniya,RU,2020-10-15 00:10:14,64.38,-173.3,37.4,93,90,17.9
184,Micheweni,TZ,2020-10-15 00:10:14,-4.97,39.83,78.13,80,0,7.65
185,Boa Vista,BR,2020-10-15 00:10:14,2.82,-60.67,89.6,49,20,5.82
186,Camacha,PT,2020-10-15 00:10:15,33.08,-16.33,69.8,68,40,14.99
187,Ayan,RU,2020-10-15 00:10:15,56.45,138.17,29.48,80,3,12.24
188,Asau,RO,2020-10-15 00:10:15,46.43,26.4,50.0,71,1,6.93
189,Andenes,NO,2020-10-15 00:10:15,69.31,16.12,39.2,86,100,16.11
190,Belmonte,BR,2020-10-15 00:10:15,-15.86,-38.88,75.2,78,17,9.17
191,Ribeira Grande,PT,2020-10-15 00:10:15,38.52,-28.7,69.12,82,27,6.13
192,Boa Esperanca,BR,2020-10-15 00:06:44,-21.09,-45.57,66.31,78,54,4.34
193,Bambous Virieux,MU,2020-10-15 00:10:15,-20.34,57.76,70.0,88,40,4.7
194,Saint-Pierre,RE,2020-10-15 00:07:08,-21.34,55.48,71.6,73,20,3.36
195,Victoria,HK,2020-10-15 00:06:26,22.29,114.16,79.0,73,100,3.0
196,Paragominas,BR,2020-10-15 00:10:15,-2.97,-47.48,78.08,68,87,3.13
197,Presidencia Roque Saenz Pena,AR,2020-10-15 00:10:16,-26.79,-60.44,67.12,83,7,9.98
198,Pocatello,US,2020-10-15 00:10:16,42.87,-112.45,55.4,26,20,26.4
199,Tasiilaq,GL,2020-10-15 00:10:16,65.61,-37.64,35.6,94,96,4.7
200,Malanje,AO,2020-10-15 00:10:16,-9.54,16.34,65.03,97,91,5.7
